program_name,url,scraped_at,deadline,description,eligibility,program guidelines,contacts,ministry,advanced exploration and development support,early exploration support,engagement and relationship-building,mineral development advisor stream,mining conferences funding sub-stream,values mapping and related projects,how to apply,eastern ontario development fund,southwestern ontario development fund
Ontario Transit Investment Fund,https://www.ontario.ca/page/available-funding-opportunities-ontario-government,2025-10-04T14:56:55.170130,Applications are accepted on an ongoing basis.,"The Ontario Transit Investment Fund ( OTIF ) provides annual funding of $5 million to deliver local and intercommunity transportation projects in unserved and underserved areas in Ontario, particularly in rural areas. OTIF provides time-limited, application-based funding for up to 5 years to support the start-up and growth of transit services across the province. Through OTIF , the province is providing eligible communities with the support they need to build safe and reliable transit services.","Eligible applicants are municipalities, non-profit organizations and Indigenous communities.",OTIF Program Guidelines,Please contact MTO-SIO@ontario.ca for all program inquiries including on how to apply for OTIF .,,,,,,,,,,
Public Library Operating/Pay Equity/First Nation Salary Supplement Grant Programs (PLOG/PE/FNSS) 2025 - 2026,https://www.ontario.ca/page/available-funding-opportunities-ontario-government,2025-10-04T14:56:55.170130,"Applications must be submitted by October 16, 2025, at 5:00 p.m. EDT .","There are three grants under this program. You can apply to the Public Library Operating ( PLOG ), Public Library Pay Equity ( PE ), or First Nation Salary Supplement ( FNSS ) grants through one single application form. Public Library Operating Grants ( PLOG ) Library operating grants are statutory under the Public Libraries Act . Library operating funding goes to: public library boards and First Nations public libraries municipalities, local service boards or First Nations that establish a contract for library service with a neighbouring public library board Public Library Pay Equity ( PE ) and First Nation Salary Supplement ( FNSS ) grants Applicants who receive a Public Library Operating Grant and have met all program terms and conditions may be eligible for Public Library Pay Equity and First Nation Salary Supplement grants.",The PLOG / PE / FNSS grants are restricted. Annual funding is distributed to recipients who: operate a public library or contract for library services with a public library board in accordance with the Public Libraries Act meet all grant program terms and conditions Public Libraries Act Information on the Public Libraries Act,There is no separate guidelines document. All program requirements and instructions are provided on the application form and in Transfer Payment Ontario ( TPON ).,Stacy Nichols Program Advisor Telephone: 437-855-3121 Email: librarygrants@ontario.ca Sarah Gletnak Financial Officer Telephone: 437-855-2903 Email: librarygrants@ontario.ca,,,,,,,,,,
Reduce Impaired Driving Everywhere (RIDE) Grant,https://www.ontario.ca/page/available-funding-opportunities-ontario-government,2025-10-04T14:56:55.170130,"You must submit your application by August 29, 2025 , at 4:00 p.m. EDT .","The Government of Ontario established the RIDE Grant to provide funding to police services/boards to enhance local enforcement capabilities and to ensure a year-round provincial program to conduct RIDE spot check activities. The RIDE Grant assists police services/boards in offsetting their staff costs for implementing RIDE programs of sobriety checks in their jurisdictions. For the current call for applications, we will offer the RIDE Grant as a 4-year program (2025 - 2026 to 2028 - 2029) to: support enhanced local enforcement enable police services to effectively plan and implement RIDE programs in their communities in subsequent fiscal years","Funding is available to: municipal and First Nations police services Ontario Provincial Police ( OPP ) Detachments Eligible applicants may submit one application per police service (municipal and First Nations police services). Similarly, municipalities policed by the OPP may submit one joint application per OPP Detachment. For all OPP Detachments , applications must be reviewed by the OPP ’s Grant Support Team at OPP .Grant.Support.Team@ OPP .ca prior to submission in Transfer Payment Ontario ( TPON ). In addition, these applications must be submitted through the lead municipality’s TPON account.",,"For questions about the RIDE Grant application process, please email Yoko.Iwasaki@ontario.ca and Karina.Garcia@ontario.ca .",,,,,,,,,,
Regional Development Program: Eastern Ontario Development Fund and Southwestern Ontario Development Fund,https://www.ontario.ca/page/available-funding-opportunities-ontario-government,2025-10-04T14:56:55.170130,,,,,,,,,,,,,,"Apply for funding Status: Open Ministry of Economic Development, Job Creation and Trade Deadline Applications are ongoing. There are four application intake periods each year. Applicants will be notified of decisions within 60 business days of the application deadline. Learn more about the intake period timelines . Description The Eastern Ontario Development Fund provides support for projects and investments to businesses, municipalities and not-for-profit organizations for economic development in eastern Ontario. Eligibility The fund supports business and community economic development projects. Learn about the eligibility requirements for different businesses and projects . Contacts For questions and advice on developing and strengthening your application, contact our regional offices at: easternregionbas@ontario.ca Tel: 416-314-8880 Toll-free 1-800-361-3223 TTY 416-325-3408 Toll-free TTY 1-800-268-7095","Apply for funding Status: Open Ministry of Economic Development, Job Creation and Trade Deadline Applications are ongoing. There are four application intake periods per year for full applications. Applicants will be notified of decisions within 60 business days of the application deadline. Learn more about the intake period timelines here . Description The Southwestern Ontario Development Fund provides support for projects and investments to businesses, municipalities and not-for-profit organizations for economic development in southwestern Ontario. Eligibility The fund supports business and community economic development projects. Learn about the eligibility requirements for different businesses and projects . How to apply Contacts For questions or advice on developing and strengthening your application, contact our regional offices at: Business Advisory Services - Western Region Main Office Email: westernregionbas@ontario.ca Tel: 416-314-8880 Toll-free 1-800-361-3223 TTY 416-325-3408 Toll-free TTY 1-800-268-7095 Business Advisory Services - Central Region Main Office (Greater Toronto and Hamilton Area, Niagara Region and Simcoe County) Email: centralregionbas@ontario.ca Tel: 416-314-8880 Toll-free 1-800-361-3223 TTY 416-325-3408 Toll-free TTY 1-800-268-7095"
Regional Development Program: Advanced Manufacturing and Innovation Competitiveness (AMIC) Stream,https://www.ontario.ca/page/available-funding-opportunities-ontario-government,2025-10-04T14:56:55.170130,,,,,,,,,,,,,,,
Site Readiness Program,https://www.ontario.ca/page/available-funding-opportunities-ontario-government,2025-10-04T14:56:55.170130,Applications can be received at any time.,The Site Readiness Program supports investment attraction and business expansion opportunities in Ontario. The program provides funding assistance to successful Applicants to help prepare their eligible industrial properties for potential investment opportunities. Learn more about the Site Readiness Program.,The eligibility requirements can be found in the Site Readiness Program Guide. You can also request the Program Guide: by email: investmentready@ontario.ca by phone: 1-855-585-0475,,"For program questions and advice on developing your application, please contact our office: by email: investmentready@ontario.ca by phone: 1-855-585-0475",,,,,,,,contact the Investment Ready Team for your pre-application consultation submit your application package through Tranfer Payment Ontario we will notify you if your site has been approved and email you with your notification of acceptance complete the additional requirements within 1 year,,
Skills Development Fund: Capital Stream,https://www.ontario.ca/page/available-funding-opportunities-ontario-government,2025-10-04T14:56:55.170130,"Continuous intake, applications will be assessed on a rolling basis until funding is fully allocated.",The Skills Development Fund ( SDF ) Capital Stream offers funding to eligible organizations to: build new training centres upgrade existing training centres convert an existing building into a training centre Learn about our SEED and GROW funding pathways under this stream.,"The following organizations are eligible to apply to the SDF Capital Stream as a primary applicant: employers in Ontario (other than the educational organizations listed as being eligible to apply as partners) minister-approved, non-college apprenticeship program training delivery agents non-profit organizations including Indigenous band offices and Indigenous Skills and Employment Training agreement holders professional, industry or employer associations trade unions or union-affiliated organizations municipalities hospitals District Social Services Administration Boards Consolidated Municipal Service Managers The following educational organizations are eligible to apply to the SDF Capital Stream as a partner with one or more of the eligible primary applicant organizations: district school boards publicly assisted colleges, universities or Indigenous Institutes in Ontario career colleges private universities with consent from the Ministry of Colleges and Universities to offer degrees",Read SDF Capital Stream program guidelines for the SEED and GROW Pathway.,Email sdfcapitalprogram@ontario.ca,,,,,,,,,,
Wetlands Conservation Partner Program 2025,https://www.ontario.ca/page/available-funding-opportunities-ontario-government,2025-10-04T14:56:55.170130,"Submit your application by 3:00 p.m. ( EDT ) on October 8, 2025.","The Wetlands Conservation Partner Program provides capital funding support to restore and enhance wetlands in priority areas and improve the resilience of wetlands in Ontario. The program objectives include: improving the functionality or connectivity of wetlands conserving, restoring or enhancing existing wetlands, their features and functions mitigating the impact of urban stormwater, which is worsened by too much hard surface (such as pavement) or more frequent and intense weather events associated with climate change improving shoreline resiliency to climate change impacts such as high-water levels and intense storms","To be eligible for consideration projects must meet at least 1 of the 4 program objectives (described above), and be a capital project (or a collection of capital sub-projects) with a total project value of at least $300,000 at minimum, provide matching contributions at a ratio of $1 in non-provincial funding for every $2 in WCPP funds (Indigenous communities are exempt from matching) take place in 1 or more of the following geographic areas: Great Lakes coastal wetlands, with a priority placed on wetlands in Areas of Concern ( AOC s) Ecoregions 6E or 7E, which have experienced significant historic wetland loss and impact The fund is open to the following organizations: municipalities conservation authorities or their foundations conservation organizations Indigenous communities Applicants must have implemented at least two projects in the past five years that are similar to their proposal.",Wetlands Conservation Partner Program Guidelines,For more information contact glo@ontario.ca .,,,,,,,,,,
Winter Roads Program: Bridges and Culverts Stream,https://www.ontario.ca/page/available-funding-opportunities-ontario-government,2025-10-04T14:56:55.170130,Applications are accepted on an ongoing basis. Applications will be evaluated during assessment periods outlined in the program guidelines.,"The Winter Roads Program – Bridges and Culverts Stream provides funding to Northern Ontario remote communities for new water crossing infrastructure (pre-engineered bridges and culverts) and repairs to existing water crossing structures. Projects are located on the Ontario winter roads network, which provides vital seasonal connections between the Far North and the provincial highway network.","Project funding is open to remote communities in Northern Ontario that are not connected to a provincial highway network by an all-season road. Eligible applicants include Indigenous communities, Indigenous organizations such as Tribal Councils, corporations or partnerships formed by eligible applicants to build or maintain winter roads, and the Town of Moosonee. Applications may be submitted by: Single applicants – one eligible applicant. Joint applicants – two or more eligible applicants. Applicants are encouraged, wherever possible, to submit applications with multiple projects that cover the same road network. Applicants are also encouraged to work together to maximize the benefits of available funding through joint applications. Joint applications must be accompanied by a resolution in support of the application from each applicant represented on the application. The applicant responsible for maintaining the corridor where the project is located should be identified as the project lead and submit the application.",Read the Winter Roads Program – Bridges and Culverts Program Guidelines for full details on the program stream .,"For questions about the Winter Roads Program – Bridges and Culverts Stream, please email winter.roads@ontario.ca .",,,,,,,,,,
Contact us,https://www.ontario.ca/page/available-funding-opportunities-ontario-government,2025-10-04T14:56:55.172134,,,,,,,,,,,,,,,
Ministry of Public and Business Service Delivery and Procurement,https://www.ontario.ca/page/available-funding-opportunities-ontario-government,2025-10-04T14:56:55.172134,,,,,,,,,,,,,,,
Questions or comments,https://www.ontario.ca/page/available-funding-opportunities-ontario-government,2025-10-04T14:56:55.172134,,,,,,,,,,,,,,,
