program_name,description,deadline,funding_low,funding_high,eligibility,interests,application_link,url,source,scraped_at
Grant for Training Opportunities for Artistic Professionals in Ontario (Canada),"View Full Grant Details Funding awards can reach up to $4,500 per fiscal year, with limits based on travel location: up to $2,500 for domestic travel within Canada, up to $3,500 for travel to the United States, and up to $4,500 for international travel. Grants are distributed on a reimbursement basis, and the approved amount may be less than the requested total. Applications must be submitted at least fifteen business days prior to the planned travel. The program prioritizes Indigenous-led projects and organizations where decision-making and creative control remain with the applicant. Funding supports activities that amplify Indigenous storytelling, strengthen cultural expression, and increase visibility for Indigenous media creators. Participants must adhere to established funding guidelines, and activities cannot receive duplicate support from other programs. All funds must be deposited into an account held by the applicant. Applications are accepted on a rolling basis until funds are exhausted or a set deadline is reached. Applicants are encouraged to provide complete documentation and follow program requirements closely. Accommodations are available for those facing accessibility barriers, including translation, low bandwidth, or other needs. Grant recipients benefit from opportunities to enhance professional skills, expand networks, and participate in national and international creative events. The funding supports capacity building, mentorship, and engagement within the Indigenous screen-based sector, contributing to sustainable growth, cultural preservation, and long-term impact for Indigenous projects and organizations. View Full Grant Details",Ongoing,"$2,500","$4,500","Arts, Culture, History & Humanities; Community Development & Services; Travel & Tourism; Individuals","Arts, Culture, History & Humanities; Community Development & Services; Travel & Tourism; Individuals",https://ontario-canada.thegrantportal.com#,https://ontario-canada.thegrantportal.com/grant-details/74708/grant-for-training-opportunities-for-artistic-professionals?page=2,The Grant Portal,2025-10-04T17:43:57.977887
Funding to Support Career Growth and Professional Artist Development in Ontario (Canada),"View Full Grant Details This grant opportunity invites applications from eligible applicants across Canada. It’s designed to provide financial support for creative and development-led initiatives, with a particular emphasis on storytelling and cultural engagement. The funding is available to individuals—or sole proprietors—multiple-person collectives, community groups, and companies. It offers varying levels of support depending on the nature of the applicant: individuals and collectives may receive up to around twenty thousand dollars for a single project, while companies may be eligible for up to approximately forty thousand dollars for a slate of two projects. In some cases, an additional amount—say five thousand dollars—may be granted for each project if there’s matching funding secured from complementary sources. The intent of the funds is to assist with core developmental activities: early-stage planning, story and project development, cultural or community consultation, access to mentors or advisors, and other professional development related to the project. Applicants may also use the funds to reimburse project-related work such as script editing, conceptual tools, or creating pitch materials. Eligibility is centered on creators and organizations led by Indigenous voices, with specific thresholds for creative and financial control. Applicants must demonstrate that Indigenous peoples are at the helm of the project. Funding is meant to support equitable representation and capacity-building within screen-based storytelling across Canada, encouraging diverse regional and cultural perspectives. The program operates on a rolling basis: applications are accepted continuously until funds are fully allocated or until a stated cut‑off date—whichever comes first. The available dollars reflect a thoughtful balance between individual creators and organizational initiatives. It’s a flexible and supportive opportunity, broadly focused on strengthening Indigenous screen-based content development throughout the country. View Full Grant Details",Ongoing,"$20,000","$40,000","Arts, Culture, History & Humanities; Black, Indigenous, People of Color; Business & Commerce; Community Development & Services; Individual; Non-Profit Support Services; Small Business; For profit corporations other than small businesses; Individuals; Small Businesses","Arts, Culture, History & Humanities; Black, Indigenous, People of Color; Business & Commerce; Community Development & Services; Individual; Non-Profit Support Services; Small Business; For profit corporations other than small businesses; Individuals; Small Businesses",https://ontario-canada.thegrantportal.com#,https://ontario-canada.thegrantportal.com/grant-details/74707/funding-to-support-career-growth-and-professional-artist-development?page=2,The Grant Portal,2025-10-04T17:44:02.310470
Grant Opportunity for Indigenous-Led Creative Initiatives in Ontario (Canada),View Full Grant Details This is a funding opportunity which provides support for projects led by Indigenous creators that involve sharing creative work. It offers resources to help with efforts to connect with larger audiences. Eligible applicants include Indigenous individuals and groups engaged in creative activities. Support is available for projects of various types and stages. The funding amount depends on the project and is intended to assist with activities related to increasing awareness. Applicants need to explain their intended use of the resources. This opportunity is available periodically and aims to encourage Indigenous creators to broaden the impact of their work. View Full Grant Details,Ongoing,"$25,000","$50,000","Arts, Culture, History & Humanities; Black, Indigenous, People of Color; Community Development & Services; Individual; Non-Profit Support Services; Non-Profit Organizations with 501(c)(3) designation","Arts, Culture, History & Humanities; Black, Indigenous, People of Color; Community Development & Services; Individual; Non-Profit Support Services; Non-Profit Organizations with 501(c)(3) designation",https://ontario-canada.thegrantportal.com#,https://ontario-canada.thegrantportal.com/grant-details/74706/grant-opportunity-for-indigenous-led-creative-initiatives?page=2,The Grant Portal,2025-10-04T17:44:07.731820
Environmental Sustainability Through Technology Reuse Grant in Ontario (Canada),"View Full Grant Details There’s a grant opportunity available aimed at supporting charitable and educational organizations in enhancing their capacity through access to refurbished technology. The grant provides eligible nonprofits, charities, and educational institutions with a package of up to 100 refurbished laptops or desktop computers at no cost, designed to strengthen operations, learning, training, and digital inclusion initiatives. This grant is globally accessible, so long as delivery is feasible in your region. Applicants are expected to demonstrate a clear need for technology to support community services, learning programs, or training efforts, and outline how the donated equipment will be used to benefit the intended users. There’s also an encouragement to share outcome stories or impact reports afterward to highlight how the technology was employed. Applications for this grant are accepted annually, and there is a specified deadline each year during which organizations may submit their proposals via an online application form. This opportunity is ideal for smaller nonprofits or educational groups aiming to bridge technology access gaps without the budget for new hardware, especially those focused on digital literacy, remote learning, or community support programming. View Full Grant Details",Ongoing,,Open,"Non-Profit Support Services; Other; Technology; Non-Profit Organizations with 501(c)(3) designation; Non-Profit Organizations with Fiscal Sponsor; Nonprofits having a 501(c)(3) status with the IRS, other than institutions of higher education; Nonprofits that do not have a 501(c)(3) status with the IRS, other than institutions of higher education","Non-Profit Support Services; Other; Technology; Non-Profit Organizations with 501(c)(3) designation; Non-Profit Organizations with Fiscal Sponsor; Nonprofits having a 501(c)(3) status with the IRS, other than institutions of higher education; Nonprofits that do not have a 501(c)(3) status with the IRS, other than institutions of higher education",https://ontario-canada.thegrantportal.com#,https://ontario-canada.thegrantportal.com/grant-details/74702/environmental-sustainability-through-technology-reuse-grant?page=2,The Grant Portal,2025-10-04T17:44:12.260727
Grant to Provide Capacity-Building Opportunities for Communities in Ontario (Canada),"View Full Grant Details A grant opportunity is available to support Indigenous youth-led community projects. Designed to empower grassroots collectives, this funding seeks to advance resilience, creativity, and well-being among youth aged 15 to 29. The goal is to invest in initiatives that foster cultural connection, community engagement, leadership development, and localized solutions. Eligible applicants include Indigenous youth groups or small organizations, including unincorporated collectives or nonprofits, that are led by at least two Indigenous individuals within the target age range. Projects should be conceived and managed by youth and should directly benefit Indigenous communities across urban, rural, or remote areas in Canada. Individuals and for-profit entities cannot apply unless they form part of a qualifying group. Funds may be used for a variety of community-oriented projects—cultural events, creative arts, wellness activities, educational workshops, or other youth-focused initiatives. Awardees are encouraged to demonstrate innovation, community involvement, and potential for sustainable impact. The grant also supports capacity building through mentorship and training components, helping youth strengthen their project management and leadership skills. Grant amounts range between modest to moderate, depending on the scale and type of initiative. Awards may span from a few thousand dollars up to $15,000, supporting both micro-projects and larger youth-led initiatives. Applications for funding are open during specified periods, typically once or twice annually, and are assessed by a committee that prioritizes youth leadership, cultural relevance, and community-driven design. This funding is awarded competitively, with recipients expected to report on project outcomes and share learnings. Award notifications generally follow a short review cycle to support timely project implementation. Overall, the grant offers vital seed funding and developmental support to help Indigenous youth realize their visions and strengthen community connections. To find more grants, visit The Grant Portal and use the Search Grant tool to find your next grant. View Full Grant Details",Ongoing,"$15,000","$15,000","Arts, Culture, History & Humanities; Community Development & Services; Non-Profit Support Services; Non-Profit Organizations with 501(c)(3) designation","Arts, Culture, History & Humanities; Community Development & Services; Non-Profit Support Services; Non-Profit Organizations with 501(c)(3) designation",https://ontario-canada.thegrantportal.com#,https://ontario-canada.thegrantportal.com/grant-details/74408/grant-to-provide-capacity-building-opportunities-for-communities?page=2,The Grant Portal,2025-10-04T17:44:17.415902
Indigenous Capacity and Cultural Support Grants in Ontario (Canada),"View Full Grant Details This grant opportunity provides flexible support for efforts that focus on cultural expression, learning, and community-driven engagement. Funding is available through two general pathways—one suited for longer-term initiatives that aim to strengthen Indigenous-led efforts, and another designed for smaller, localized projects that bring people together and create space for meaningful connections. The larger support option may extend over several years and is intended for groups or organizations looking to build capacity, deepen their impact, or expand their reach. Grant amounts under this stream may be significant, depending on the scope of the work and the structure in place to manage longer-term programming. The smaller-scale support, on the other hand, is well-suited to emerging or informal groups that wish to host cultural activities, promote dialogue, or share knowledge through creative and educational expressions. These grants can provide helpful backing for events, workshops, or initiatives that strengthen cultural awareness and participation. Eligible applicants generally include individuals, community-based organizations, or collectives that are Indigenous-led and based within Canada. While the larger stream may require an established foundation with a clear plan and leadership model, the smaller opportunities are designed to be more accessible for new or developing ideas, especially those rooted in community or place-based knowledge. Funding is awarded at various times throughout the year, depending on the type and scale of the proposed work. Some deadlines fall in the spring or early summer, while others occur more frequently, creating multiple chances to apply. This opportunity is ideal for those seeking to advance cultural renewal, education, or reconciliation in their own communities, whether through formal programming or grassroots efforts. The flexibility of the grant design allows a wide range of ideas to be considered and supported. View Full Grant Details",Ongoing,"$1,500","$175,000","Arts, Culture, History & Humanities; Black, Indigenous, People of Color; Community Development & Services; Education; Non-Profit Support Services; Non-Profit Organizations with 501(c)(3) designation","Arts, Culture, History & Humanities; Black, Indigenous, People of Color; Community Development & Services; Education; Non-Profit Support Services; Non-Profit Organizations with 501(c)(3) designation",https://ontario-canada.thegrantportal.com#,https://ontario-canada.thegrantportal.com/grant-details/74406/indigenous-capacity-and-cultural-support-grants?page=2,The Grant Portal,2025-10-04T17:44:22.295001
Award to Support Workplace Health and Employee Well-Being in Ontario (Canada),"View Full Grant Details This recognition program, available throughout Canada, celebrates organizations of any size—public, private, or nonprofit—that demonstrate a strong commitment to cultivating healthy, safe, and thriving workplaces (healthyworkplacemonth.ca). Rather than direct funding, recipients receive formal acknowledgment through a certificate and a branded logo they can use in recruitment materials and external communications. Any organization headquartered or primarily operating in Canada is eligible to apply, regardless of scale or sector. Applications open annually—in this case, coming next September—with a fall deadline followed by notifications in late fall . There’s no fee to apply, and there’s no set limit on the number of winners—multiple organizations may be recognized each cycle. Applicants are assessed by a panel of experts across four key areas: promoting active and healthy lifestyles (including physical environment safety), fostering positive mental health and workplace culture, nurturing social well-being and belonging, and engaging in broader community and corporate social responsibility. Though this is an award rather than a monetary grant, organizations gain valuable benefits: national visibility, enhanced brand positioning, a third-party seal of approval, and free access to workplace health resources and guides . Past recipients have underscored how recognition helped demonstrate leadership in wellness, from enhanced safety protocols and mental health initiatives to employee engagement and social impact programs. If your organization wants to highlight a commitment to employee well-being across physical, mental, social, and community dimensions, this award is a wonderful opportunity. The process involves completing an application form in the fall—detailing programs, policies, employee feedback, and metrics—so recipients can formally showcase their workplace excellence starting the following October. View Full Grant Details",Ongoing,,Open,"Business & Commerce; Community Development & Services; Employment, Labor & Training Workforce; Environment; Health & Medical; Non-Profit Support Services; Small Business; For profit corporations other than small businesses; Local Government; Municipalities; Non-Profit Organizations with 501(c)(3) designation; Small Businesses","Business & Commerce; Community Development & Services; Employment, Labor & Training Workforce; Environment; Health & Medical; Non-Profit Support Services; Small Business; For profit corporations other than small businesses; Local Government; Municipalities; Non-Profit Organizations with 501(c)(3) designation; Small Businesses",https://ontario-canada.thegrantportal.com#,https://ontario-canada.thegrantportal.com/grant-details/74405/award-to-support-workplace-health-and-employee-well-being?page=2,The Grant Portal,2025-10-04T17:44:27.655618
Funding for High-Impact Community Initiatives in Ontario (Canada),"View Full Grant Details A funding opportunity is available to support high-impact projects that contribute to the well-being, resilience, and growth of communities. This grant is designed to assist nonprofit organizations that are leading initiatives with the potential to generate meaningful and lasting change in the lives of local residents. Funding is intended to support innovative ideas, expand access to essential services, and foster community development in a broad range of areas. This opportunity is open to registered nonprofit organizations. Individuals and for-profit businesses are not eligible to apply. Eligible projects should directly serve communities within a defined region of Ontario, with a particular focus on initiatives that benefit underserved populations, improve quality of life, or support environmental, educational, cultural, or social advancement. Funding may be used to launch new initiatives, expand existing programs, or support one-time capital needs. Projects that demonstrate collaboration, inclusivity, and sustainability are encouraged. Examples of fundable efforts include programs addressing food insecurity, youth development, senior support, environmental conservation, community arts, and local education. Proposals should include a clear description of objectives, intended outcomes, and a plan for implementation. Grant amounts vary based on the size and scope of the project, as well as the availability of funding in each cycle. Proposals are evaluated on impact, feasibility, alignment with community needs, and the capacity of the organization to deliver results. Successful applicants often demonstrate strong local partnerships and a thoughtful approach to long-term community benefit. Grants are typically awarded on an annual basis, with set deadlines for proposal submission. To find more grants, visit The Grant Portal and use the Search Grant tool to find your next grant. View Full Grant Details",Ongoing,$200,"$2,000",Community Development & Services; Community/Economic Development; Non-Profit Support Services; Quality of Life; Non-Profit Organizations with 501(c)(3) designation,Community Development & Services; Community/Economic Development; Non-Profit Support Services; Quality of Life; Non-Profit Organizations with 501(c)(3) designation,https://ontario-canada.thegrantportal.com#,https://ontario-canada.thegrantportal.com/grant-details/74360/funding-for-high-impact-community-initiatives?page=2,The Grant Portal,2025-10-04T17:44:33.432777
Grant to Enhance the Lives and Well-Being of Seniors in Ontario (Canada),"View Full Grant Details This grant supports charitable and community-driven initiatives aimed at enriching the lives of seniors across a broad region of Canada. Designed for registered nonprofit organizations, particularly those already focused on creating meaningful elder experiences, it offers one-time funding of up to $50,000. The primary goal is to bolster creative, engaging programs that uplift senior well-being, whether through arts and cultural events, social connections, health-oriented activities, or direct support to informal caregivers. Grant recipients are encouraged to launch their programs in the spring and complete them well before the end of the following winter. Eligible applicants include charities and community groups that serve older adults, especially those offering interactive or wellness-focused initiatives. The funding is not intended for ongoing operational costs or overhead, but rather for special projects that spark joy, reduce isolation, or strengthen care networks among seniors and their caregivers. Examples might include intergenerational arts workshops, outdoor exercise classes tailored to older adults, caregiver respite support, or new social outreach activities. The expectation is that projects will meaningfully enhance social ties, cognitive engagement, or emotional support for seniors in various communities. This opportunity is available nationwide to registered Canadian non‑profits with a clear mandate to improve senior quality of life. Individual seniors, for-profit businesses, or research institutions not structured as charities are not eligible. The application window typically opens in early February and closes at the end of that month, with funding awarded in late March. Projects should begin around May and wrap up by the end of January the next year. Grant awardees receive a single lump sum payment and are expected to provide a brief report demonstrating how the funds supported joyful, well-rounded programming for seniors and caregivers. Overall, this grant offers a thoughtfully targeted approach to fostering meaningful engagement, creative expression, and enhanced well-being among older adults, through community-led, charitable activities. It’s particularly well suited to nonprofits ready to launch short-term, high-impact projects that bring seniors and caregivers together in supportive, innovative ways. View Full Grant Details",Ongoing,"$50,000","$50,000","Aging/Seniors; Arts, Culture, History & Humanities; Community Development & Services; Health & Medical; Non-Profit Support Services; Quality of Life; Non-Profit Organizations with 501(c)(3) designation","Aging/Seniors; Arts, Culture, History & Humanities; Community Development & Services; Health & Medical; Non-Profit Support Services; Quality of Life; Non-Profit Organizations with 501(c)(3) designation",https://ontario-canada.thegrantportal.com#,https://ontario-canada.thegrantportal.com/grant-details/74316/grant-to-enhance-the-lives-and-well-being-of-seniors?page=2,The Grant Portal,2025-10-04T17:44:38.168942
Grant to Support Initiatives That Improve Community Health in Ontario (Canada),"View Full Grant Details This grant opportunity supports innovators and researchers across various regions, offering funding to universities, hospitals, research organizations, individuals, nonprofit organizations, and small businesses. With grants ranging from roughly $100,000 to several million dollars, the initiative is designed to fuel projects that promise meaningful impact in their chosen field. Though the exact funding depends on the scope and ambition of the project, the broad intent is to encourage novel strategies, shine a light on emerging challenges, and improve outcomes that matter to communities worldwide. Available in numerous states and regions—including North America, Europe, select areas in Asia and Africa—this funding aims to reach both high-income and lower-resource settings. Eligible applicants include those working in nonprofit sectors, mission-driven ventures, academic institutions, and independent researchers. Whether you’re leading a grassroots effort or guiding a structured study, you can apply. Small businesses with innovative ideas and individuals with compelling project plans are also welcome. The purpose of the funds is to help recipients explore new ideas, advance early-stage studies, or scale up evidence-based practices. Funds may be used for critical elements such as research design, data collection, pilot testing, community engagement, or building collaborative partnerships. Projects that use existing data in innovative ways or generate meaningful insights for early intervention are particularly attractive. Funding can be used to cover personnel, modest equipment, data management, community outreach, and other essential costs that drive project success. Beneficiaries can expect both financial support and an opportunity to bolster credibility through association with a reputable funder. Grants in the upper range may also offer longer-term support—spanning multiple years—to enable thorough investigation or development. Proposals are encouraged to demonstrate thoughtful planning, methodological rigor, and alignment with broader goals such as improving well-being, promoting equity, or transforming systems. Overall, this grant seeks to foster work that transforms understanding and action, especially in areas where early intervention or data-driven insights can make a real difference. View Full Grant Details",Ongoing,,Open,"Awards; Financial Assistance; Health & Medical; Higher Education; Individual; Mental Health; Research & Evaluation; Science, Technology Research & Development; Small Business; Individuals; Non-Profit Organizations with 501(c)(3) designation; Private institutions of higher education; Public and State controlled institutions of higher education; Small Businesses","Awards; Financial Assistance; Health & Medical; Higher Education; Individual; Mental Health; Research & Evaluation; Science, Technology Research & Development; Small Business; Individuals; Non-Profit Organizations with 501(c)(3) designation; Private institutions of higher education; Public and State controlled institutions of higher education; Small Businesses",https://ontario-canada.thegrantportal.com#,https://ontario-canada.thegrantportal.com/grant-details/74307/grant-to-support-initiatives-that-improve-community-health?page=2,The Grant Portal,2025-10-04T17:44:43.042214
Grant for Career Growth/Research Projects/Community Programs in Ontario (Canada),"View Full Grant Details Offers grant funding opportunities across a variety of states and regions, supporting nonprofits and individual researchers dedicated to advancing knowledge and community well-being. With awards ranging from $25,000 to $250,000 over one to three years, these grants are designed to seed innovative projects, bridge funding gaps, and raise awareness about critical health and behavioral topics. Applicants may include emerging investigators fresh from graduate training, mid-career professionals facing temporary funding shortfalls, organizations executing community-centered outreach, or partnerships committed to enhancing public understanding and access to essential services. Funds are intended to support a range of activities. For individual researchers, grants can cover data collection, pilot studies, and preparation of proposals for larger funding agencies. For small businesses and community organizations, resources may be used to deliver educational workshops, develop outreach programs targeting underserved populations, or build new models to improve health equity and accessibility. In some cases, funding supports disaster response initiatives that restore disrupted services following natural emergencies. Indirect costs are permitted but capped at a modest rate, encouraging cost-effective programming and research. Grants are awarded annually through a structured timeline, with mid-year application deadlines and notifications typically issued in the fall. Eligibility emphasizes professional or organizational independence, financial accountability, and alignment with strategic priorities such as addressing service disparities, implementing best practices, and fostering collaborations across sectors. Priority often goes to projects that demonstrate mentorship, capacity-building potential, and measurable outcomes, especially those targeting populations with historically limited resources or attention. Overall, these grant opportunities offer a friendly entry point for emerging investigators, community-centered groups, and mission-driven businesses to pursue meaningful work. Whether it’s launching a research pilot, expanding public education efforts, or restoring vital services after disruption, the funding provides a platform for growth, impact, and long-term sustainability. If you’d like help tailoring a proposal to fit your goals, I’d be happy to assist. View Full Grant Details",Ongoing,,Open,Community Development & Services; Financial Assistance; Health & Medical; Individual; Non-Profit Support Services; Research & Evaluation; Students; Individuals; Non-Profit Organizations with 501(c)(3) designation,Community Development & Services; Financial Assistance; Health & Medical; Individual; Non-Profit Support Services; Research & Evaluation; Students; Individuals; Non-Profit Organizations with 501(c)(3) designation,https://ontario-canada.thegrantportal.com#,https://ontario-canada.thegrantportal.com/grant-details/74240/grant-for-career-growthresearch-projectscommunity-programs?page=2,The Grant Portal,2025-10-04T17:44:49.072755
Graduate Travel Support for Cultural and Religious Studies in Ontario (Canada),"View Full Grant Details This funding opportunity is available to support individuals currently engaged in graduate-level academic work, particularly those with a focus on religious and cultural studies. This opportunity is designed to encourage participation in a national academic gathering, providing financial assistance for travel expenses related to attending and presenting original research. The support is intended to ease the financial burden on students who are developing innovative ideas within the fields of belief systems, spiritual practices, and cultural traditions. The grant offers a modest award of up to $500 and is aimed at assisting with travel costs. While this amount may not cover all expenses, it is a helpful supplement for those who might otherwise face financial challenges when attending scholarly events. The grant is offered on an annual basis and is awarded to select applicants who demonstrate both academic merit and a clear connection between their research and the themes prioritized by the funding body. This opportunity is open to individuals, not businesses or nonprofit organizations, and is not restricted by state or region. Eligible applicants may reside in any U.S. state or even internationally, as long as they meet the outlined criteria. The funding body emphasizes supporting emerging scholars and seeks to foster academic exchange and dialogue by enabling participation in structured, professional development settings. The intent of this funding is not for general project support, organizational use, or business development. Instead, it is specifically geared toward enabling access to learning, networking, and the sharing of knowledge in an academic context. The overall goal is to stimulate new perspectives and elevate underrepresented voices in research centered on religious or cultural topics. This grant represents a valuable chance for eligible individuals to engage more fully with the broader academic community. View Full Grant Details",Ongoing,$500,$500,"Arts, Culture, History & Humanities; Awards; Individual; Students; Individuals","Arts, Culture, History & Humanities; Awards; Individual; Students; Individuals",https://ontario-canada.thegrantportal.com#,https://ontario-canada.thegrantportal.com/grant-details/74199/graduate-travel-support-for-cultural-and-religious-studies?page=3,The Grant Portal,2025-10-04T17:44:56.604000
Grant for Youth Civic Engagement and Digital Democracy in Ontario (Canada),"View Full Grant Details This grant opportunity provides funding to support small-scale projects that aim to create positive impacts within local communities. The funds are intended to help initiatives that promote social, cultural, or educational improvements, and to encourage innovative approaches to community engagement. Applicants are encouraged to propose projects that address specific local needs, foster collaboration, and generate meaningful outcomes that benefit a wider audience. Eligible applicants include nonprofit organizations, community groups, and occasionally small businesses or individuals with a clear plan to implement impactful initiatives. The funding can be used for a variety of purposes, including project materials, event costs, educational programs, and other activities that directly support the objectives of the proposed initiative. The program emphasizes flexibility, accessibility, and responsiveness to local priorities, allowing grantees to tailor their projects to meet unique community needs. The grant is available across various regions, with priority given to projects that demonstrate clear community relevance and potential for tangible results. Funding amounts are typically modest, providing enough support to enable projects to be executed effectively while encouraging sustainable and scalable outcomes. Recipients are generally asked to provide feedback or reporting on project progress and results to share lessons learned and best practices with the wider community. This opportunity aims to strengthen local initiatives, support grassroots efforts, and encourage innovative solutions to community challenges. By providing accessible funding for diverse projects, the program seeks to empower participants to make meaningful contributions to their communities, foster connections among stakeholders, and promote inclusive and impactful outcomes. To find more grants, visit The Grant Portal and use the Search Grant tool to find your next grant. View Full Grant Details",Ongoing,$100,"$5,000","Black, Indigenous, People of Color; Individual; Refugee/Immigrant; Social Justice; Youth/Out-of-School Youth; Individuals","Black, Indigenous, People of Color; Individual; Refugee/Immigrant; Social Justice; Youth/Out-of-School Youth; Individuals",https://ontario-canada.thegrantportal.com#,https://ontario-canada.thegrantportal.com/grant-details/74167/grant-for-youth-civic-engagement-and-digital-democracy?page=3,The Grant Portal,2025-10-04T17:45:02.371013
Grant for Collaborative Knowledge Exchange Projects in Ontario (Canada),"View Full Grant Details This grant opportunity provides funding to support projects that foster collaboration, knowledge exchange, and engagement within various academic, cultural, and community settings. The funds are intended to encourage initiatives that promote dialogue, partnership development, and the sharing of ideas across disciplines or sectors. Applicants are invited to propose activities that facilitate meaningful connections, whether through workshops, conferences, symposia, or other forms of collaborative programming. Eligible applicants include nonprofit organizations, academic institutions, research groups, and occasionally small businesses or individual researchers involved in relevant project work. The funding can be used to support operational costs associated with organizing events, developing collaborative materials, and facilitating participation from diverse stakeholders. The program emphasizes inclusivity, accessibility, and the dissemination of knowledge to broader audiences. The grant is available to applicants across multiple regions, with projects expected to demonstrate relevance to the communities or sectors they engage. Funding levels are determined based on the scope and scale of proposed activities, ensuring that supported projects can achieve meaningful outcomes while maintaining accountability and feasibility. Recipients are typically required to report on activities and results, contributing to a broader understanding of effective engagement strategies and knowledge mobilization practices. This opportunity is designed to enhance collaborative networks, support emerging leaders, and promote innovative approaches to knowledge sharing. By encouraging projects that bring together diverse perspectives, the program seeks to strengthen the research and community landscape, create lasting connections, and facilitate the exchange of ideas that can lead to meaningful impacts within and beyond academic settings. To find more grants, visit The Grant Portal and use the Search Grant tool to find your next grant. View Full Grant Details",Ongoing,"$7,000","$25,000","Arts, Culture, History & Humanities; Community/Economic Development; Higher Education; Science, Technology Research & Development; Private institutions of higher education; Public and State controlled institutions of higher education","Arts, Culture, History & Humanities; Community/Economic Development; Higher Education; Science, Technology Research & Development; Private institutions of higher education; Public and State controlled institutions of higher education",https://ontario-canada.thegrantportal.com#,https://ontario-canada.thegrantportal.com/grant-details/74166/grant-for-collaborative-knowledge-exchange-projects?page=3,The Grant Portal,2025-10-04T17:45:07.429865
Grant for Advancing Innovative Research in Arthritis Treatment in Ontario (Canada),"View Full Grant Details This grant supports innovative, patient‑focused research across a range of arthritis‑related themes, including chronic pain, osteoarthritis, inflammatory arthritis, childhood arthritis, and work‑related impacts. The foundation offers multi‑year awards—up to approximately $150,000 annually for up to three years—for high‑quality research aligned with its strategic plan focused on accelerating impact through rigorous science and relevance to patients. Available to researchers based at or affiliated with eligible Canadian institutions, applications are led by principal investigators—faculty or equivalent—at universities, research institutes, or health agencies. The process begins with a letter of intent, followed by invited full proposals Awarded funds are intended to support operational costs of research projects—not infrastructure or indirect costs—and are expected to fuel scientific discovery in areas that matter most to patients, such as understanding pain mechanisms, identifying sex‑ or gender‑based disparities, developing personalized therapies, improving diagnostic tools, advancing workplace accommodations, and facilitating childhood disease transitions. The grant emphasizes meaningful patient involvement and integration of sex and gender considerations in study design and execution . While primarily aimed at academic investigators, the program encourages multidisciplinary approaches and collaborations, including partnerships beyond traditional disciplines. In summary, this grant opportunity offers substantial funding—up to $450,000 over three years—for Canadian researchers at eligible institutions, supporting impactful, patient‑centered arthritis research. With a structured application process, clear strategic priorities, and a spotlight on real-world outcomes, it’s well suited for teams focused on advancing both scientific excellence and community relevance across diverse arthritis domains. Let me know if you'd like help unpacking any specific priority area, or planning your application timeline! View Full Grant Details",Ongoing,"$118,000","$150,000","Health & Medical; Higher Education; Individual; Quality of Life; Research & Evaluation; Science, Technology Research & Development; Individuals","Health & Medical; Higher Education; Individual; Quality of Life; Research & Evaluation; Science, Technology Research & Development; Individuals",https://ontario-canada.thegrantportal.com#,https://ontario-canada.thegrantportal.com/grant-details/74162/grant-for-advancing-innovative-research-in-arthritis-treatment?page=3,The Grant Portal,2025-10-04T17:45:12.152178
Grant for Canadian Minority-Owned Small Business Growth in Ontario (Canada),"View Full Grant Details This is a funding initiative offering financial support along with complimentary professional guidance to help small businesses advance their goals. The opportunity is available to a select group of entrepreneurs operating in certain Canadian cities. Eligible businesses may receive cash contributions—amounts may vary—based on the strength of their applications. In addition to financial assistance, recipients are connected with expert legal and advisory services to support their long-term growth and development. The program is intended to help address structural challenges faced by underrepresented business owners, providing not just capital but also the tools and resources needed to sustain and scale their ventures. It is focused on for-profit businesses that meet specific criteria, and is not open to non-profit or charitable organizations. Overall, this initiative represents a valuable opportunity for qualifying small businesses to access both funding and strategic support, while contributing to more inclusive and resilient local economies. View Full Grant Details",Ongoing,$1,"$100,000","Black, Indigenous, People of Color; Business & Commerce; Community/Economic Development; Small Business; Small Businesses","Black, Indigenous, People of Color; Business & Commerce; Community/Economic Development; Small Business; Small Businesses",https://ontario-canada.thegrantportal.com#,https://ontario-canada.thegrantportal.com/grant-details/74159/grant-for-canadian-minority-owned-small-business-growth?page=3,The Grant Portal,2025-10-04T17:45:17.191307
